[Sun Feb 26 21:32:06.966859 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:08.463033 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:09.966516 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:11.464937 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:12.962340 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:14.465460 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:15.964078 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:17.464442 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:18.962338 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4, referer: http://ogame.zz/worldgen
[Sun Feb 26 21:32:19.951492 2017] [:error] [pid 19325] [client 127.0.0.1:56432] PHP Fatal error:  Cannot redeclare class Universe\\Module in /home/vidok/sites/ogame.zz/module/Entities/src/Module.php on line 4
